Model,Condition,F1_mean,F1_std,AUC_PR_mean,AUC_PR_std,MCC_mean,MCC_std,AUC_ROC_mean,AUC_ROC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FPR_mean,FPR_std,TP_mean,FP_mean,TN_mean,FN_mean,Seeds
RF,No Handling,0.841089250071286,0.0037873601424295187,0.7975783029066976,0.0015906922620692726,0.8486556659665689,0.003394529967298825,0.9680554716830381,0.0027027832870305064,0.9723744292237443,0.00020841802035963957,0.7410526315789474,0.005765500605317564,3.530387813101269e-05,0.0,70.4,2.0,56649.0,24.6,5
XGB,No Handling,0.8373086872726148,0.005397660435999098,0.8294143250174904,0.004099528319879315,0.8450018903926473,0.005110128952896169,0.9742739711009886,0.002046343707140234,0.9695564559350011,0.005961091218017172,0.7368421052631579,0.007443229275647833,3.883426594411396e-05,7.894187137031261e-06,70.0,2.2,56648.8,25.0,5
RF,Cost-Sensitive,0.8231007863790492,0.0055236778710196985,0.8122640652383044,0.00393472707837204,0.8314441326785964,0.005480019460299131,0.9424982139024815,0.0076160490153248245,0.9606807511737088,0.006238348481651829,0.72,0.005765500605317563,4.9425429383417773e-05,7.894187137031263e-06,68.4,2.8,56648.2,26.6,5
TabularResNet,No Handling,0.8197788979264521,0.022951121422363635,0.7918645304944054,0.016180394327942275,0.8248947742583654,0.023772755875559163,0.9437514086711898,0.0042168797899996375,0.9242708739154031,0.036591533956589324,0.7368421052631579,0.019692933614599666,0.00010238124657991395,5.206574007076256e-05,70.0,5.8,56645.2,25.0,5
LGBM,No Handling,0.8148482431468033,0.01169531880019177,0.7883854297500622,0.0018621159324114615,0.8229737247844875,0.011055709355248947,0.97257347619636,0.0003533448535440652,0.9496682297477539,0.011868456614257658,0.7136842105263158,0.015613049446517155,6.354698063582285e-05,1.578837427406252e-05,67.8,3.6,56647.4,27.2,5
TabularResNet,SMOTE,0.8124087815712293,0.017838989286729286,0.7970501509122228,0.005497043367376415,0.8156945529366382,0.01784372213541668,0.9369254409965355,0.003080040258090479,0.8959363842908147,0.018980188789608294,0.7431578947368421,0.01761389529545424,0.0001447459003371,2.6182056758373186e-05,70.6,8.2,56642.8,24.4,5
TabularResNet,ADASYN,0.8066183232314149,0.023314789420731136,0.7818667426031857,0.019792116838883374,0.808822593849872,0.024231566997512482,0.9520140955378684,0.008839891185463087,0.8737706335790746,0.04071476646570522,0.7494736842105263,0.013724636642531887,0.00018358016628122,6.79083654716654e-05,71.2,10.4,56640.6,23.8,5
XGB,Cost-Sensitive,0.8012472300332124,0.008830048480450648,0.8083998421939121,0.006413627868734103,0.8009602718122322,0.008811747660543944,0.975168589953817,0.00205428798466421,0.8089821252722986,0.005870904070931564,0.7936842105263158,0.01200184657999095,0.000314204515366,7.894187137028426e-06,75.4,17.8,56633.2,19.6,5
RF,SMOTE,0.7883498224732446,0.003566467001877112,0.808660651342891,0.0020722424070913435,0.7882772949153212,0.0036732918422828025,0.9776614896935902,0.005704895475772645,0.8093685091437901,0.007529420530180341,0.7684210526315789,0.0,0.0003036133519267,1.4768671806919102e-05,73.0,17.2,56633.8,22.0,5
TabNet,SMOTE,0.750515119552073,0.0224681784610189,0.772582444579195,0.019358682169770044,0.7511966246954589,0.021498546059196093,0.9215006563734185,0.01538292556179646,0.7328437232972871,0.05607901540657637,0.7726315789473684,0.02844053912864484,0.00048366313039482,0.00015215520954269036,73.4,27.4,56623.6,21.6,5
TabNet,ADASYN,0.7378196401851929,0.056945717097573754,0.7224491164786513,0.02779343894214982,0.740071112552436,0.05359702194500874,0.9362928512433933,0.015283894442310998,0.7286178198069679,0.11513278507726346,0.7578947368421053,0.025784102555612386,0.00051896700852582,0.0003364535527263507,72.0,29.4,56621.6,23.0,5
LR,No Handling,0.7,0.0,0.7009256866393823,1.1668138495462274e-07,0.7122583070065591,0.0,0.9564743317579751,4.6637910978889993e-07,0.8615384615384617,0.0,0.5894736842105263,0.0,0.0001588674515895,0.0,56.0,9.0,56642.0,39.0,5
RF,ADASYN,0.6915333266584643,0.009213621192419587,0.7585326012514283,0.002869434947107033,0.6957813054011162,0.008479396566222087,0.9782432232812353,0.003474369203010708,0.6192251136910943,0.01410094577749632,0.783157894736842,0.005765500605317551,0.0008084588092001201,4.898214303548866e-05,74.4,45.8,56605.2,20.6,5
TabNet,Cost-Sensitive,0.6820449524092266,0.05220568429038534,0.7637248156187952,0.026631643951451518,0.6887223921884595,0.04510400643511068,0.9386238176684761,0.012458517696231594,0.6082107476242732,0.08419791504188273,0.7852631578947369,0.026420842943181373,0.00088965772890146,0.00035624569480092284,74.6,50.4,56600.6,20.4,5
XGB,SMOTE,0.6010169763226392,0.022050122147356487,0.7896103934543518,0.0074050865175196556,0.6194603285513979,0.020153653104494226,0.9755819426237655,0.0029798535895762903,0.482274793222476,0.02418739781535783,0.7978947368421052,0.013724636642531918,0.00144039822774526,0.00012011103660097609,75.8,81.6,56569.4,19.2,5
TabularResNet,Cost-Sensitive,0.519900988283649,0.06405419790317933,0.7696821318601922,0.006156356423001654,0.5595019091155686,0.04966241658072827,0.946473802199803,0.00907701166029297,0.38240952394996197,0.06828126573015804,0.8273684210526315,0.014122534594735493,0.00234417750789918,0.000719346297181711,78.6,132.8,56518.2,16.4,5
VAE,VAE (Unsupervised),0.49969873506052753,0.10751094689255479,0.4655449485598343,0.07770701105409134,0.5007447706433952,0.10709813807522266,0.9401005045667425,0.010644556455731724,0.46198849520733615,0.11004696049516859,0.5452631578947369,0.10404558983706583,0.00108382905862202,0.0002753363012926513,51.8,61.4,56589.6,43.2,5
XGB,ADASYN,0.48810526449540603,0.007808057279800722,0.7852849172239063,0.0032063576135140308,0.5360828464017479,0.00723967361273978,0.969696637491418,0.001459523978592131,0.3443802716741698,0.006991819247969397,0.8378947368421052,0.009415023063156976,0.00267603396233072,7.653698394973251e-05,79.6,151.6,56499.4,15.4,5
