Model,Condition,Ratio,F1_mean,F1_std,AUC_PR_mean,AUC_PR_std,MCC_mean,MCC_std,AUC_ROC_mean,AUC_ROC_std,Precision_mean,Precision_std,Recall_mean,Recall_std,FPR_mean,FPR_std,TP_mean,FP_mean,TN_mean,FN_mean,Seeds
RF,Synth Aug (5%),5%,0.8446010283755475,0.0023324031068207,0.8226788069438685,,0.846435472762165,,,,,,,,,,,,,,5
XGB,Synth Aug (1%),1%,0.8411495366118393,0.0038768427056624,0.8306887631930646,,0.8440452615024334,,,,,,,,,,,,,,5
RF,Synth Aug (1%),1%,0.8381215106732348,0.0019178981937602,0.8102528369679206,,0.8413567597865537,,,,,,,,,,,,,,5
ResNet,Synth Aug (25%),25%,0.8297056412910802,0.0094284175648002,0.8156435079757622,0.0072425253195489,0.8377584218646279,0.0091443386971183,0.9551064737092948,0.0033217310219474,0.9642705114352388,0.0196388182163711,0.7284210526315789,0.0156130494465172,4.58950415703165e-05,2.6770491055944465e-05,69.2,2.6,56648.4,25.8,5
ResNet,Synth Aug (50%),50%,0.8268414684002551,0.013006909184197,0.8155372013417242,0.0047000053665244,0.8350929388278194,0.0120535480968569,0.9638242461460708,0.0047775255077946,0.9635624780381048,0.0077777848255373,0.7242105263157895,0.0172965018159525,4.58950415703165e-05,9.668365209884491e-06,68.8,2.6,56648.4,26.2,5
XGB,Synth Aug (5%),5%,0.8266704066636162,0.0072139487961435,0.8200015781541825,,0.8277037622751621,,,,,,,,,,,,,,5
RF,Synth Aug (10%),10%,0.8233867693468511,0.0125556364683458,0.8199202815264732,,0.8231547274840736,,,,,,,,,,,,,,5
TabPFN,Synth Aug (50%),50%,0.8175238095238095,0.0193431242175659,0.7714172163091957,0.0124229598407488,0.8212735447815904,0.0192931687684296,0.9631767172781824,0.0056056489429632,0.9058899774579504,0.0270817845518498,0.7452631578947368,0.0228205088301882,0.0001306243490847,4.0637815513282586e-05,70.8,7.4,56643.6,24.2,5
ResNet,Synth Aug (5%),5%,0.8172533672322466,0.0083052538568527,0.8111995370943909,0.0056292276866729,0.82183533026791,0.0090334031512433,0.9549704794545364,0.0118829152783932,0.9149982518818318,0.027266630164493,0.7389473684210526,0.0156130494465171,0.0001165027978323,4.0637815513283406e-05,70.2,6.6,56644.4,24.8,5
LGBM,Synth Aug (1%),1%,0.8169434243917003,0.0093549894347299,0.7951474686348561,,0.8194430260308346,,,,,,,,,,,,,,5
